numberOneAfterAnother,identifierForm,perelikDodatkiv,nameForm,documetRegulates,typePayer,termPresentation,accountingPeriod
1,J0100129,"J0110329, J0110629, J0111329, J0111429, J0111529, J0111629, J0111729, J0111829, J0112029, J0112829, J0114429, J0114829, J0114929, J0115029, J0115929, J0116029",Податкова декларація з податку на прибуток підприємств (з додатками),"Наказ Міністерства фінансів України від 2015-10-20 № 897 ""Про затвердження форми Податкової декларації з податку на прибуток підприємств"", зареєстрований в Міністерстві юстиції України 2015-11-11 за № 1415/27860, у редакції наказу Міністерства фінансів України від 2023-02-20 № 101 (із змінами, внесеними наказом Міністерства фінансів України від 2025-07-25 № 371)",Ю,"щоквартально протягом 40 днів, що настають за останнім календарним днем звітного (податкового) кварталу, півріччя, трьох кварталів; щорічно протягом 60 днів що настають за останнім календарним днем звітного (податкового) року","І квартал, півріччя, три квартали, рік"
2,J0100130,"J0110330, J0110630, J0111330, J0111430, J0111530, J0111630, J0111730, J0111830, J0112030, J0112830, J0114430, J0114830, J0114930, J0115030, J0115930, J0116030",Податкова декларація з податку на прибуток підприємств (з додатками) (проєкт для розробників),"Наказ Міністерства фінансів України від 2015-10-20 № 897 ""Про затвердження форми Податкової декларації з податку на прибуток підприємств"", зареєстрований в Міністерстві юстиції України 2015-11-11 за № 1415/27860, у редакції наказу Міністерства фінансів України від 2023-02-20 № 101 (із змінами, внесеними наказом Міністерства фінансів України від 2026-04-06 № 186)",Ю,"щоквартально протягом 40 днів, що настають за останнім календарним днем звітного (податкового) кварталу, півріччя, трьох кварталів; щорічно протягом 60 днів що настають за останнім календарним днем звітного (податкового) року","І квартал, півріччя, три квартали, рік"
3,J0100529,"J0150329, J0150629, J0151329, J0151429, J0151529, J0151629, J0151729, J0151829, J0152029, J0152829, J0154429, J0154829, J0154929, J0156029",Податкова декларація з податку на прибуток підприємств (для виробників сільськогосподарської продукції),"Наказ Міністерства фінансів України від 2015-10-20 № 897 ""Про затвердження форми Податкової декларації з податку на прибуток підприємств"", зареєстрований в Міністерстві юстиції України 2015-11-11 за № 1415/27860, у редакції наказу Міністерства фінансів України від 2023-02-20 № 101 (із змінами, внесеними наказом Міністерства фінансів України від 2025-07-25 № 371)",Ю,"податковий (звітний) період починається з 01 липня минулого звітного року і закінчується 30 червня поточного звітного року, наприклад, для звітного 2023 року з 2023-07-01 по 2024-06-30 з граничним строком 2024-08-30",рік річний податковий (звітний) період починається з 1 липня минулого звітного року і закінчується 30 червня поточного звітного року
4,J0100530,"J0150330, J0150630, J0151330, J0151430, J0151530, J0151630, J0151730, J0151830, J0152030, J0152830, J0154430, J0154830, J0154930, J0156030",Податкова декларація з податку на прибуток підприємств (для виробників сільськогосподарської продукції) (проєкт для розробників),"Наказ Міністерства фінансів України від 2015-10-20 № 897 ""Про затвердження форми Податкової декларації з податку на прибуток підприємств"", зареєстрований в Міністерстві юстиції України 2015-11-11 за № 1415/27860, у редакції наказу Міністерства фінансів України від 2023-02-20 № 101 (із змінами, внесеними наказом Міністерства фінансів України від 2026-04-06 № 186)",Ю,"податковий (звітний) період починається з 01 липня минулого звітного року і закінчується 30 червня поточного звітного року, наприклад, для звітного 2023 року з 2023-07-01 по 2024-06-30 з граничним строком 2024-08-30",рік річний податковий (звітний) період починається з 1 липня минулого звітного року і закінчується 30 червня поточного звітного року
5,J0100929,"J0190329, J0190629, J0191329, J0191429, J0191529, J0191629, J0191729, J0191829, J0192029, J0192829, J0194429, J0194829, J0194929, J0196029",Податкова декларація з податку на прибуток підприємств (для інститутів спільного інвестування),"Наказ Міністерства фінансів України від 2015-10-20 № 897 ""Про затвердження форми Податкової декларації з податку на прибуток підприємств"", зареєстрований в Міністерстві юстиції України 2015-11-11 за № 1415/27860, у редакції наказу Міністерства фінансів України від 2023-02-20 № 101 (із змінами, внесеними наказом Міністерства фінансів України від 2025-07-25 № 371)",Ю,"щоквартально протягом 40 днів, що настають за останнім календарним днем звітного (податкового) кварталу, півріччя, трьох кварталів; щорічно протягом 60 днів що настають за останнім календарним днем звітного (податкового) року","І квартал, півріччя, три квартали, рік"
6,J0100930,"J0190330, J0190630, J0191330, J0191430, J0191530, J0191630, J0191730, J0191830, J0192030, J0192830, J0194430, J0194830, J0194930, J0196030",Податкова декларація з податку на прибуток підприємств (для інститутів спільного інвестування) (проєкт для розробників),"Наказ Міністерства фінансів України від 2015-10-20 № 897 ""Про затвердження форми Податкової декларації з податку на прибуток підприємств"", зареєстрований в Міністерстві юстиції України 2015-11-11 за № 1415/27860, у редакції наказу Міністерства фінансів України від 2023-02-20 № 101 (із змінами, внесеними наказом Міністерства фінансів України від 2026-04-06 № 186)",Ю,"щоквартально протягом 40 днів, що настають за останнім календарним днем звітного (податкового) кварталу, півріччя, трьох кварталів; щорічно протягом 60 днів що настають за останнім календарним днем звітного (податкового) року","І квартал, півріччя, три квартали, рік"
7,J0101911,"J0119711, J0119811",Звіт про використання доходів (прибутків) неприбуткових організацій,"Наказ Міністерства фінансів України 17 червня 2016 року № 553, зареєстрований в Міністерстві юстиції України 2016-07-07 № 932/29062 (у редакції наказу Міністерства фінансів України від 28 квітня 2017 року № 469, зареєстрованого в Міністерстві юстиції України 2017-05-22 р. за № 653/30521)",Ю,"щорічно протягом 60 днів, що настають за останнім календарним днем звітного (податкового) року за місяць протягом 20 календарних днів, наступних за останнім календарним днем звітного (податкового) місяця (подається у разі порушення вимог п. 133.4 ст. 133 Податкового кодексу України)","рік, місяць"
8,J0102003,J0102103,Заява про застосування спрощеної системи оподаткування,"Наказ Міністерства фінансів України від 2019-07-16 № 308, зареєстрованого в Міністерстві юстиції України 2019-09-24 за № 1054/3425",Ю,місяць без терміна подання,місяць
9,J0102004,J0102104,Заява про застосування спрощеної системи оподаткування (проєкт для розробників),"Наказ Міністерства фінансів України від 2019-07-16 № 308, зареєстрованого в Міністерстві юстиції України 2019-09-24 за № 1054/34025 (у редакції наказу Міністерства фінансів України від 2024-09-11 № 440, зареєстрованого в Міністерстві юстиції України 2024-09-25 за № 1443/42788)",Ю,місяць без терміна подання,місяць
10,J0103101,J1360102,Податковий розрахунок сум надходжень платника третьої групи єдиного податку на рахунки у банках і сум утриманого з них податку (проєкт для розробників),"Наказ Міністерства фінансів України від 2023-06-19 № 331, зареєстрованого в Міністерстві юстиції України 2023-07-04 за № 1138/40194",Ю,у разі зарахування коштів на рахунок платника єдиного податку третьої групи - електронного резидента (е-резидента),квартал
11,J0103203,J0132103,"Податкова декларація платника єдиного податку третьої групи на період дії воєнного, надзвичайного стану в Україні","Наказ Міністерства фінансів України від 2022-04-26 № 124, зареєстрований в Міністерстві юстиції України 2022-05-05 за № 495/37831",Ю,"щомісячно протягом 20 днів, наступних за звітним місяцем",місяць
12,J0103509,J0135709,Податкова декларація платника єдиного податку третьої групи,"Наказ Міністерства фінансів України 2015-06-19 року № 578, зареєстрований у Міністерстві юстиції України 2015-07-07 за № 799/27244 (із змінами, внесеними наказом Міністерства фінансів України від 2025-01-31 року № 57, зареєстрованого в Міністерстві юстиції України 2025-02-14 за № 232/43638)",Ю,щоквартально протягом 40 днів після звітного кварталу; податковий (звітний) період місяць з першого числа такого місяця без обмеження граничного строку подання,"місяць, квартал, півріччя, 9-місяців, рік"
13,J0103806,"J0138106, J0138306",Податкова декларація платника єдиного податку четвертої групи,"Наказ Міністерства фінансів України від 2015-06-19 № 578, зареєстрованим у Міністерстві юстиції України 2015-07-07 за № 799/27244 (із змінами, внесеними наказом Міністерства фінансів України від 2025-01-31 № 57, зареєстрований в Міністерстві юстиції України 2025-02-14 № 232/43638)",Ю,рік не пізніше 20 лютого поточного року,рік
14,J0104707,"J0147107, J0147207",Звіт про контрольовані операції,Наказ Міністерства фінансів України від 2016-01-18 № 8 (у редакції наказу Міністерства фінансів України від 2023-12-31 № 673),Ю,"до 1 жовтня року, наступного за звітним",рік
15,J1610101,NULL,"Повідомлення про виявлення факту, що свідчить про володіння фізичною (юридичною) особою – резидентом України часткою в іноземній юридичній особі",підпункт 392.6.3 пункту 392.6 статті 392 Податкового кодексу України,Ю,місяць без терміна подання,місяць
16,J1800103,NULL,Повідомлення про участь у міжнародній групі компаній,"Наказ Міністерства фінансів України від 2020-12-31 № 839, зареєстрований в Міністерстві юстиції України 2021-03-04 за № 278/35900, із змінами, внесеними наказом Міністерства фінансів України від 2024-02-09 № 58, зареєстрованим в Міністерстві юстиції України 2024-02-26 за № 282/41627, враховуючи зміни, внесені наказом Міністерства фінансів України від 2024-03-01 № 101, зареєстрованим в Міністерстві юстиції України 2024-03-04 № 316/41661",Ю,"до 1 жовтня року, наступного за звітним",рік
17,J1800202,"J1820102, J1820202",Звіт у розрізі країн міжнародної групи компаній,Накази Міністерства фінансів України від 2023-12-21 № 709 «Про внесення Змін до наказу Міністерства фінансів України від 14 грудня 2020 року №764» (зареєстрований в Міністерстві юстиції України 2024-01-04 за № 28/41373); від 12 січня 2024 року № 12 «Про внесення змін до наказу Міністерства фінансів України від 21 грудня 2023 №709» (зареєстрований в Міністерстві юстиції України 2024-01-15 за № 80/41425),Ю,рік - протягом дванадцяти місяців після закінчення фінансового року,рік
18,J0147703,NULL,"Повідомлення про укладання форвардного, ф’ючерсного контракту або контракту на здійснення операцій з сировинними товарами","Наказ Міністерства фінансів України від 2020-12-31 № 840, зареєстрованим в Міністерстві юстиції України 2021-01-22 за № 95/35717",Ю,місяць без терміна подання,місяць
19,J0105002,NULL,"Звіт про нарахування податку з доходів фізичних осіб, що утримується з грошового забезпечення, грошових винагород та інших виплат, одержаних військовослужбовцями та особами рядового і начальницького складу, виплати щомісячної грошової компенсації втрат у зв'язку з утриманням цього податку",Постанова Кабінету Міністрів України від 15 січня 2004 року № 44,Ю,"не пізніше 20 числа місяця, що настає за звітним кварталом","1-й, 2-й, 3-й та 4-й квартал"
