id,code,name,parent_id:id
kfk_0100,0100,Загальнодержавні функції,
kfk_0110,0110,"Вищі органи державного управління, фінансова та зовнішньополітична діяльність",l10n_ua_budget_base.kfk_0100
kfk_0120,0120,Економічна допомога зарубіжним країнам,l10n_ua_budget_base.kfk_0100
kfk_0130,0130,Інші загальні функції державного управління,l10n_ua_budget_base.kfk_0100
kfk_0140,0140,Фундаментальні дослідження,l10n_ua_budget_base.kfk_0100
kfk_0150,0150,Дослідження і розробки у сфері державного управління,l10n_ua_budget_base.kfk_0100
kfk_0160,0160,Проведення виборів та референдумів,l10n_ua_budget_base.kfk_0100
kfk_0170,0170,Обслуговування боргу,l10n_ua_budget_base.kfk_0100
kfk_0180,0180,Міжбюджетні трансферти загального характеру,l10n_ua_budget_base.kfk_0100
kfk_0200,0200,Оборона,
kfk_0210,0210,Військова оборона,l10n_ua_budget_base.kfk_0200
kfk_0220,0220,Цивільна оборона,l10n_ua_budget_base.kfk_0200
kfk_0240,0240,Дослідження і розробки у сфері оборони,l10n_ua_budget_base.kfk_0200
kfk_0250,0250,Інша діяльність у сфері оборони,l10n_ua_budget_base.kfk_0200
kfk_0300,0300,"Громадський порядок, безпека та судова влада",
kfk_0310,0310,Діяльність із забезпечення громадського порядку,l10n_ua_budget_base.kfk_0300
kfk_0320,0320,Протипожежний захист,l10n_ua_budget_base.kfk_0300
kfk_0330,0330,Судова влада,l10n_ua_budget_base.kfk_0300
kfk_0340,0340,Кримінально-виконавча система та виправні заходи,l10n_ua_budget_base.kfk_0300
kfk_0350,0350,"Дослідження і розробки у сфері громадського порядку, безпеки",l10n_ua_budget_base.kfk_0300
kfk_0360,0360,Інша діяльність у сфері громадського порядку та безпеки,l10n_ua_budget_base.kfk_0300
kfk_0400,0400,Економічна діяльність,
kfk_0410,0410,"Загальна економічна, торговельна та трудова діяльність",l10n_ua_budget_base.kfk_0400
kfk_0420,0420,"Сільське, лісове та рибне господарство, мисливство",l10n_ua_budget_base.kfk_0400
kfk_0421,0421,Сільське господарство,l10n_ua_budget_base.kfk_0420
kfk_0422,0422,Лісове господарство та мисливство,l10n_ua_budget_base.kfk_0420
kfk_0423,0423,Рибне господарство,l10n_ua_budget_base.kfk_0420
kfk_0430,0430,Паливно-енергетичний комплекс,l10n_ua_budget_base.kfk_0400
kfk_0440,0440,Інша промисловість та будівництво,l10n_ua_budget_base.kfk_0400
kfk_0450,0450,Транспорт,l10n_ua_budget_base.kfk_0400
kfk_0460,0460,"Зв'язок, телекомунікації та інформатика",l10n_ua_budget_base.kfk_0400
kfk_0470,0470,Інші галузі економіки,l10n_ua_budget_base.kfk_0400
kfk_0480,0480,Дослідження і розробки в галузях економіки,l10n_ua_budget_base.kfk_0400
kfk_0490,0490,Інша економічна діяльність,l10n_ua_budget_base.kfk_0400
kfk_0500,0500,Охорона навколишнього природного середовища,
kfk_0510,0510,Запобігання та ліквідація забруднення,l10n_ua_budget_base.kfk_0500
kfk_0520,0520,Утилізація відходів,l10n_ua_budget_base.kfk_0500
kfk_0530,0530,Збереження природно-заповідного фонду,l10n_ua_budget_base.kfk_0500
kfk_0540,0540,Дослідження і розробки у сфері довкілля,l10n_ua_budget_base.kfk_0500
kfk_0550,0550,Інша діяльність у сфері довкілля,l10n_ua_budget_base.kfk_0500
kfk_0600,0600,Житлово-комунальне господарство,
kfk_0610,0610,Житлове господарство,l10n_ua_budget_base.kfk_0600
kfk_0620,0620,Комунальне господарство,l10n_ua_budget_base.kfk_0600
kfk_0630,0630,Водопостачання,l10n_ua_budget_base.kfk_0600
kfk_0640,0640,Вуличне освітлення,l10n_ua_budget_base.kfk_0600
kfk_0650,0650,Дослідження і розробки у сфері ЖКГ,l10n_ua_budget_base.kfk_0600
kfk_0660,0660,Інша діяльність у сфері ЖКГ,l10n_ua_budget_base.kfk_0600
kfk_0700,0700,Охорона здоров'я,
kfk_0710,0710,"Медична продукція, обладнання та прилади",l10n_ua_budget_base.kfk_0700
kfk_0720,0720,"Поліклініки, амбулаторії, швидка та невідкладна допомога",l10n_ua_budget_base.kfk_0700
kfk_0730,0730,Лікарні та санаторно-курортні заклади,l10n_ua_budget_base.kfk_0700
kfk_0740,0740,Санітарно-профілактичні та протиепідемічні заходи,l10n_ua_budget_base.kfk_0700
kfk_0750,0750,Дослідження і розробки у сфері охорони здоров'я,l10n_ua_budget_base.kfk_0700
kfk_0760,0760,Інша діяльність у сфері охорони здоров'я,l10n_ua_budget_base.kfk_0700
kfk_0800,0800,Духовний та фізичний розвиток,
kfk_0810,0810,Фізична культура і спорт,l10n_ua_budget_base.kfk_0800
kfk_0820,0820,Культура та мистецтво,l10n_ua_budget_base.kfk_0800
kfk_0830,0830,Засоби масової інформації,l10n_ua_budget_base.kfk_0800
kfk_0840,0840,Дослідження і розробки у сфері духовного та фізичного розвитку,l10n_ua_budget_base.kfk_0800
kfk_0850,0850,Інша діяльність у сфері духовного та фізичного розвитку,l10n_ua_budget_base.kfk_0800
kfk_0900,0900,Освіта,
kfk_0910,0910,Дошкільна освіта,l10n_ua_budget_base.kfk_0900
kfk_0920,0920,Загальна середня освіта,l10n_ua_budget_base.kfk_0900
kfk_0921,0921,Загальна початкова освіта,l10n_ua_budget_base.kfk_0920
kfk_0922,0922,Загальна основна освіта,l10n_ua_budget_base.kfk_0920
kfk_0930,0930,Професійно-технічна освіта,l10n_ua_budget_base.kfk_0900
kfk_0940,0940,Вища освіта,l10n_ua_budget_base.kfk_0900
kfk_0941,0941,Заклади вищої освіти I-II рівнів акредитації,l10n_ua_budget_base.kfk_0940
kfk_0942,0942,Заклади вищої освіти III-IV рівнів акредитації,l10n_ua_budget_base.kfk_0940
kfk_0950,0950,Післядипломна освіта,l10n_ua_budget_base.kfk_0900
kfk_0960,0960,Позашкільна освіта та заходи з позашкільної роботи з дітьми,l10n_ua_budget_base.kfk_0900
kfk_0970,0970,Програми матеріального забезпечення навчальних закладів,l10n_ua_budget_base.kfk_0900
kfk_0980,0980,Дослідження і розробки у сфері освіти,l10n_ua_budget_base.kfk_0900
kfk_0990,0990,Інші заклади та заходи у сфері освіти,l10n_ua_budget_base.kfk_0900
kfk_1000,1000,Соціальний захист та соціальне забезпечення,
kfk_1010,1010,Соціальний захист на випадок непрацездатності,l10n_ua_budget_base.kfk_1000
kfk_1020,1020,Соціальний захист пенсіонерів,l10n_ua_budget_base.kfk_1000
kfk_1030,1030,Соціальний захист ветеранів війни та праці,l10n_ua_budget_base.kfk_1000
kfk_1040,1040,"Соціальний захист сім'ї, дітей та молоді",l10n_ua_budget_base.kfk_1000
kfk_1050,1050,Соціальний захист безробітних,l10n_ua_budget_base.kfk_1000
kfk_1060,1060,Допомога у вирішенні житлового питання,l10n_ua_budget_base.kfk_1000
kfk_1070,1070,Соціальний захист інших категорій населення,l10n_ua_budget_base.kfk_1000
kfk_1080,1080,Дослідження і розробки у сфері соціального захисту,l10n_ua_budget_base.kfk_1000
kfk_1090,1090,Інша діяльність у сфері соціального захисту,l10n_ua_budget_base.kfk_1000
