КОД КП ;КОД ЗКППТР ;ВИПУСК ЄТКД ;ВИПУСК ДКХП ;ПРОФЕСІЙНА НАЗВА РОБОТИ ;
7346 ;10003 ;47 ;  ;Авербандник ;
7232;;;;Авіаційний механік з планера та двигунів;
7241 ;10007 ;  ;68 ;Авіаційний механік з приладів та електроустаткування ;
7243 ;10008 ;  ;68 ;Авіаційний механік з радіоустаткування ;
7232 ;10010 ;  ;68 ;Авіаційний технік (механік) з парашутних та аварійно-рятувальних засобів ;
8155 ;  ;  ;68 ;Авіаційний технік з паливно-мастильних матеріалів ;
3115 ;  ;  ;68 ;Авіаційний технік з планера та двигунів ;
3115;;;;Авіаційний технік з приладів та електроустаткування;
3115;;;;Авіаційний технік з радіоустаткування;
8139 ;10014 ;44 ;  ;Автоклавник (виробництво скла та скловиробів) ;
8212 ;10014 ;  ;36 ;Автоклавник (виробництво теплоізоляційних матеріалів) ;
8154 ;10014 ;  ;11 ;Автоклавник (виробництво цитринової та виннокам'яної кислот) ;
8122 ;10015 ;  ;42 ;Автоклавник лиття під тиском ;
9311 ;10017 ;  ;5 ;Автоклавник на запарюванні брикетів ;
8152 ;10019 ;  ;45 ;Автоклавник-сушильник акумуляторних пластин у виробництві свинцевих акумуляторів ;
8224 ;10023 ;34 ;  ;Автоматник в'язальних автоматів ;
7311 ;10025 ;  ;51 ;Автоматник голково-платинних виробів ;
8211 ;10039 ;  ;45 ;Автоматник елементного виробництва ;
8240 ;10032 ;63 ;59 ;Автоматник з вироблення деталей клавішних інструментів ;
8143 ;10027 ;  ;17 ;Автоматник картонажного виробництва ;
8229 ;10028 ;  ;61 ;Автоматник клеїльних напівавтоматів ;
8290 ;10030 ;  ;44 ;Автоматник на вузлов'язальних та навивальних автоматах та верстатах ;
8211 ;10036 ;  ;52 ;Автоматник ремізних автоматів ;
8221 ;10038 ;  ;42 ;Автоматник холодновисаджувальних автоматів ;
8211 ;10021 ;  ;42 ;Автоматник ;
2451.2;;;;Автор промов;
2451.2;;;;Автор текстів (копірайтер);
7239 ;  ;  ;  ;Авторемонтник ;
5111 ;20010 ;  ;  ;Агент з доставки замовлених квитків ;
3422;;;;Агент з митного оформлення;
3413 ;- ;  ;1 ;Агент з нерухомості ;
5111 ;20019 ;  ;68 ;Агент з організації обслуговування авіаперевезень ;
4221 ;- ;  ;5*, 81 ;Агент з організації туризму ;
3422 ;20022 ;  ;66 ;Агент з передачі вантажу на прикордонній станції (пункті) ;
4131 ;20031 ;  ;1 ;Агент з постачання ;
5111 ;20025 ;  ;  ;Агент з приймання замовлень на квитки ;
4133 ;20028 ;  ;66,67 ;Агент з розшуку вантажів та багажу ;
3422 ;20014 ;- ;  ;Агент із замовлень населення на перевезення ;
3415 ;20004 ;  ;66,1 ;Агент комерційний;
3415 ;20007 ;  ;67 ;Агент морський ;
3429 ;  ;  ;  ;Агент податковий ;
3429 ;  ;  ;1 ;Агент рекламний ;
4133;;;;Агент станційний;
3412 ;20034 ;- ;  ;Агент страховий ;
3415 ;- ;- ;1 ;Агент торговельний ;
3415 ;20001 ;  ;1 ;Агент ;
8112 ;10041 ;  ;5 ;Агломератник ;
2213.2 ;20037 ;- ;  ;Агролісомеліоратор ;
2112.2 ;- ;  ;75 ;Агрометеоролог ;
2213.2 ;20041 ;  ;2 ;Агроном аеродрому ;
3212 ;20047 ;  ;2 ;Агроном відділення (бригади, сільськогосподарської дільниці, ферми, цеху) ;
2213.2 ;20053 ;  ;2 ;Агроном з насінництва ;
2213.2 ;20050 ;  ;2 ;Агроном із захисту рослин ;
2213.2 ;20040 ;  ;2 ;Агроном ;
2213.1 ;  ;  ;2 ;Агроном-дослідник ;
3212 ;  ;  ;  ;Агротехнік ;
2213.2 ;20056 ;  ;2 ;Агрохімік ;
2421.2 ;20059 ;- ;  ;Адвокат ;
3436;;;;Адміністративний помічник;
4222 ;20068 ;  ;65 ;Адміністратор (господар) залу ;
2419.3;;;;Адміністратор (органи державної влади та місцевого самоврядування);
2131.2 ;- ;- ;  ;Адміністратор бази даних ;
2139.2;;;;Адміністратор безпеки мереж і систем;
2131.2;;;;Адміністратор вебресурсів;
3121;;;;Адміністратор вебсайту;
2131.2 ;- ;- ;  ;Адміністратор даних ;
2131.2 ;- ;- ;  ;Адміністратор доступу (груповий) ;
2131.2 ;- ;- ;  ;Адміністратор доступу ;
2131.2 ;- ;- ;  ;Адміністратор задач ;
3429 ;20074 ;  ;82 ;Адміністратор знімальної групи ;
3429 ;20071 ;  ;82 ;Адміністратор кінотеатру ;
3422 ;  ;  ;67 ;Адміністратор пасажирської служби ;
4229;;;;Адміністратор програм радіо та телебачення;
2131.2 ;- ;- ;  ;Адміністратор системи ;
3429 ;20077 ;- ;  ;Адміністратор телевізійних передач ;
